district,id
kaithal/q614037,368
kakching/q28173825,369
kalaburagi/q2641873,370
kalahandi/q1876588,371
kalimpong/q28769140,372
kallakurichi/q60493360,373
kamjong/q28419390,374
kamle/q48731073,375
kanchipuram/q15157,376
kandhamal/q2085500,377
kangpokpi/q28419386,378
kangra/q727232,379
kannauj/q627979,380
kannur/q2980652,381
kanpurdehat/q610612,382
kanpurnagar/q2089152,383
kanyakumari/q15158,384
kapurthala/q172363,385
karaikal/q639264,386
karauli/q1419668,387
kargil/q1650798,388
karnal/q607915,389
karur/q15182,390
kasaragod/q1419703,391
kasganj/q890800,392
kathua/q2375700,393
katihar/q77568,394
katni/q746441,395
kaushambi/q1946937,396
kendrapara/q2299172,397
kendujhar/q2085428,398
khagaria/q49175,399
khandwa/q2085436,400
khargone/q2273900,401
kheda/q1755463,402
kheri/q1755447,403
khordha/q662818,404
khowai/q16086680,405
khunti/q367344,406
kinnaur/q1862950,407
kiphire/q2597908,408
kishanganj/q77375,409
kishtwar/q2321899,410
kochbihar/q2728658,411
kodagu/q1553185,412
kodarma/q2085480,413
kohima/q953530,414
kolar/q2509866,415
kolasib/q1947343,416
kolhapur/q1797312,417
kolkata/q1348,418
kollam/q1356124,419
kondagaon/q12420995,420
koppal/q956387,421
koraput/q1947300,422
korba/q2299121,423
koriya/q2295896,424
kota/q999432,425
kottayam/q1353354,426
kozhikode/q1142979,427
kradaadi/q21018627,428
krishna/q15382,429
krishnagiri/q15183,430
kulgam/q2321867,431
kullu/q2980880,432
kupwara/q2297306,433
kurnool/q15381,434
kurukshetra/q980118,435
kurungkumey/q2449506,436
kushinagar/q825673,437
kutch/q1063417,438
lahulandspiti/q837595,439
lakhisarai/q77505,440
lalitpur/q1947336,441
latehar/q2244762,442
latur/q1948713,443
lawngtlai/q2086209,444
leh/q1921210,445
leparada/q63563632,446
lohardaga/q1948301,447
lohit/q15438,448
longding/q5627568,449
longleng/q1426783,450
lowerdibangvalley/q2373368,451
lowersiang/q13602925,452
lowersubansiri/q15436,453
lucknow/q1773416,454
ludhiana/q172482,455
lunglei/q1947352,456
madhepura/q77746,457
madhubani/q77474,458
madurai/q15184,459
mahasamund/q2450240,460
mahe/q639279,461
mahendragarh/q684019,462
mahesana/q2019694,463
mahisagar/q5706885,464
mahoba/q1815322,465
mahrajganj/q1356139,466
mainpuri/q1816657,467
malappuram/q1030918,468
maldah/q2049820,469
malkangiri/q5122619,470
mamit/q751531,471
mandi/q1892161,472
mandla/q2341670,473
mandsaur/q1870014,474
mandya/q2768290,475
mansa/q172387,476
mathura/q1773422,477
mau/q1518847,478
mayurbhanj/q1914546,479
meerut/q1764627,480
mirzapur/q1143894,481
moga/q1946896,482
mokokchung/q2175311,483
mon/q2339648,484
moradabad/q1345006,485
morbi/q5979727,486
morena/q2341467,487
muktsar/q1947359,488
mumbai/q1234568,489
mungeli/q13476249,490
munger/q77452,491
murshidabad/q1546240,492
muzaffarnagar/q2365710,493
muzaffarpur/q77731,494
mysuru/q591781,495
nabarangapur/q2396798,496
nadia/q1143880,497
nagapattinam/q15185,498
nagaur/q1507174,499
nagpur/q1797367,500
nainital/q1797306,501
nalanda/q77633,502
namakkal/q15187,503
namsai/q21559824,504
nanded/q692389,505
nandubar/q1623525,506
narayanpet/q61746013,507
narmada/q1797230,508
narsimhapur/q2341616,509
nashik/q1797269,510
navsari/q1797349,511
nawada/q100067,512
nayagarh/q2367388,513
neemuch/q2341713,514
niwari/q63563797,515
noklak/q48731903,516
noney/q28419389,517
north24parganas/q338425,518
northgarohills/q7055466,519
northsikkim/q1784149,520
northtripura/q1920978,521
nuapada/q1810550,522
nuh/q2216696,523
osmanabad/q1647186,524
pakaur/q2295930,525
pakkekessang/none,526
palamu/q1797254,527
palghar/q18003119,528
palghat/q1535742,529
pali/q46925,530
palwal/q2724926,531
panchmahal/q1781463,532
panchkula/q1898143,533
panipat/q2086163,534
panna/q2341630,535
papumpare/q15432,536
parbhani/q1797389,537
paschimbardhaman/q29215602,538
paschimmedinipur/q1855537,539
pashchimchamparan/q100124,540
pashchimisinghbhum/q1950527,541
patan/q1815269,542
pathankot/q172269,543
patiala/q172391,544
patna/q100077,545
pattanamtitta/q634935,546
paurigarhwal/q2085474,547
perambalur/q15186,548
peren/q516294,549
phek/q590882,550
pherzawl/q28173809,551
pilibhit/q2980705,552
pithoragarh/q1945425,553
porbandar/q1772815,554
prakasam/q15390,555
pratapgarh/q1473962,556
pratapgarh/q1585433,557
prayagraj/q1773426,558
puducherry/q984035,559
pudukkottai/q15190,560
pulwama/q2085364,561
punch/q2983134,562
pune/q1797336,563
purbabardhaman/q808023,564
purbachamparan/q49159,565
purbamedinipur/q1431920,566
purbisinghbhum/q2452921,567
puri/q1817158,568
purnia/q100082,569
puruliya/q307474,570
raebareilly/q1321157,571
raichur/q1430830,572
raigad/q2019683,573
raigarh/q2286310,574
raipur/q2295914,575
raisen/q1815223,576
rajauri/q544279,577
rajgarh/q1833306,578
rajkot/q1815245,579
rajnandgaon/q2341800,580
rajsamand/q596693,581
ramanagara/q427679,582
ramanathapuram/q15191,583
ramban/q2321939,584
ramgarh/q2663612,585
rampur/q1815331,586
ranchi/q1947380,587
ratlam/q2299164,588
ratnagiri/q1771768,589
rayagada/q2577997,590
reasi/q2321956,591
rewa/q526862,592
rewari/q2301759,593
ri-bhoi/q1884672,594
rohtak/q967388,595
rohtas/q100085,596
rudraprayag/q1805059,597
rupnagar/q196508,598
sabarkantha/q1772856,599
sagar/q2085421,600
saharanpur/q1797326,601
saharsa/q100120,602
sahibganj/q767878,603
sahibzadaajitsinghnagar/q2037672,604
saiha/q1821714,605
saitkibirnagar/q1945445,606
salem/q15192,607
samastipur/q100117,608
samba/q1117086,609
sambalpur/q1267306,610
sambhal/q3000436,611
sangli/q1425060,612
sangrur/q1945515,613
santravidasnagar/q127533,614
saran/q100146,615
satara/q1135612,616
satna/q2577924,617
sawaimadhopur/q1507166,618
sehore/q2299029,619
senapati/q2301706,620
seoni/q2221184,621
sepahijala/q16086076,622
seraikelakharsawan/q2362658,623
serchhip/q2086190,624
shahdol/q2085464,625
shaheedbhagatsinghnagar/q202710,626
shahjahanpur/q1812557,627
shajapur/q2449803,628
shamli/q2999938,629
sharawasti/q1945458,630
sheikhpura/q100093,631
sheohar/q100095,632
sheopur/q620105,633
shiyomi/q63563625,634
shimla/q1921404,635
shimoga/q2981389,636
shivpuri/q2299042,637
shopian/q2073646,638
siang/q18642331,639
siddharthnagar/q1815339,640
sidhi/q2449793,641
sikar/q12945777,642
simdega/q2597889,643
sindhudurg/q768332,644
singrauli/q2668638,645
sirmaur/q654331,646
sirohi/q205719,647
sirsa/q526101,648
sitamarhi/q100144,649
sitapur/q1812539,650
sivagangai/q15195,651
siwan/q100131,652
solan/q2980937,653
solapur/q1797263,654
sonapur/q1473957,655
sonbhadra/q607798,656
sonipat/q2241746,657
south24parganas/q2308319,658
southgarohills/q2329228,659
southsikkim/q1805051,660
southtripura/q1822159,661
southwestgarohills/q15961576,662
southwestkhasihills/q15923741,663
sriganganagar/q1419696,664
sripottisriramulunellore/q15383,665
srikakulam/q15395,666
srinagar/q1506029,667
sukma/q16933590,668
sultanpur/q1356154,669
sundargarh/q2296047,670
supaul/q100139,671
surajpur/q16938031,672
surat/q1797317,673
surendranagar/q237535,674
surguja/q1805075,675
